,index,point1x,point1y,point2x,point2y,point3x,point3y,point4x,point4y,height,cluster,z
159,707,552778.603685,4183084.20884,552748.475861,4183079.5767,552743.37803,4183112.7334,552773.505855,4183117.36555,111.49,3,127.78
160,724,552698.043377,4183025.03396,552647.124555,4183016.54293,552637.966714,4183071.46047,552688.885536,4183079.9515,96.03,3,127.78
161,728,552710.123601,4182958.25646,552656.40805,4182949.32831,552646.175281,4183010.89298,552699.890832,4183019.82113,109.71,3,127.78
162,794,553042.032201,4182914.91679,552959.652838,4182901.46718,552951.026946,4182954.30108,553033.406308,4182967.75069,114.49,3,127.78
163,816,552777.353353,4183098.92935,552745.125951,4183092.95944,552737.216782,4183135.65554,552769.444184,4183141.62546,116.28,3,127.78
164,837,552565.383577,4183102.27159,552507.038056,4183092.45568,552497.720748,4183147.83748,552556.066268,4183157.6534,122.38,3,127.78
165,841,552928.22925,4183268.20871,552870.369605,4183258.25926,552854.451584,4183350.8283,552912.311229,4183360.77775,120.98,3,127.78
166,16,552648.764456,4182607.98039,552580.307523,4182596.02915,552571.52242,4182646.35038,552639.979353,4182658.30162,63.96,4,77.38
167,61,552284.363801,4182571.61488,552223.706257,4182561.71524,552216.878248,4182603.55213,552277.535791,4182613.45177,60.56,4,77.38
168,67,552368.60658,4182537.51371,552327.108451,4182530.48049,552317.156462,4182589.20029,552358.654591,4182596.2335,55.51,4,77.38
169,81,552721.676484,4182615.78856,552689.709604,4182610.25796,552679.832662,4182667.34669,552711.799541,4182672.87729,50.63,4,77.38
170,83,552612.667012,4182684.69314,552573.831601,4182678.27548,552565.173294,4182730.66987,552604.008706,4182737.08752,51.73,4,77.38
171,131,552651.142618,4182268.7943,552608.617916,4182225.75354,552574.468685,4182259.49333,552616.993387,4182302.53408,49.4,4,77.38
172,138,552416.016571,4182494.09906,552378.043401,4182487.84057,552372.666451,4182520.46503,552410.639621,4182526.72352,44.93,4,77.38
173,150,552320.492009,4182271.67048,552272.954662,4182263.83177,552265.390262,4182309.70559,552312.927609,4182317.5443,53.68,4,77.38
174,219,552744.532364,4182563.86673,552720.987073,4182539.92727,552687.160659,4182573.19673,552710.705951,4182597.13619,61.31,4,77.38
175,229,552452.798802,4182553.1668,552397.585028,4182543.85647,552387.140627,4182605.79575,552442.354401,4182615.10608,43.95,4,77.38
176,242,552345.940415,4182427.67597,552311.868452,4182421.73888,552301.710147,4182480.03563,552335.782109,4182485.97273,45.57,4,77.38
177,246,552561.171356,4182675.48721,552510.310077,4182667.62142,552504.297414,4182706.5001,552555.158693,4182714.3659,43.66,4,77.38
178,277,552464.06199,4182661.07391,552410.054438,4182651.89278,552399.195356,4182715.77082,552453.202907,4182724.95195,52.01,4,77.38
179,302,552422.391336,4182203.79747,552396.088494,4182177.37382,552344.443855,4182228.78235,552370.746697,4182255.206,77.38,4,77.38
