index,x,y,connected
539,132.5509761,480.20282,TRUE
540,161,480,TRUE
541,188.9411765,480.8042986,TRUE
542,218.5,465,TRUE
543,229.8974359,466.6153846,TRUE
544,217.7505995,488.3117506,TRUE
545,234,466,TRUE
546,254.1875,474.8125,FALSE
547,247.0419847,488.8053435,TRUE
548,292,481.5,FALSE
549,263,483.2857143,TRUE
550,266.3333333,487.6666667,FALSE
551,270.3333333,491.6666667,FALSE
552,278.44,494.48,TRUE
553,305.5185185,472.5185185,FALSE
554,295.5,481,FALSE
555,315.1949153,491.2711864,TRUE
556,329.8352941,488.9960784,TRUE
557,347.5,482.5,FALSE
558,366.8917749,478.1082251,TRUE
559,349,482.5,FALSE
560,404.2063492,478.6507937,FALSE
561,381.597561,489.902439,TRUE
562,435.7058824,466.7058824,FALSE
563,432.4444444,474.9722222,FALSE
564,407.3,479,FALSE
565,423.5,478.5,FALSE
566,439.5675676,466.6216216,FALSE
567,447,472.7758621,FALSE
568,456.5779817,482.0978593,FALSE
569,447,495,FALSE
570,484,477.0548523,FALSE
571,466.6081081,478.9054054,FALSE
572,490,494.5,FALSE
573,515.6367347,471.2530612,TRUE
574,529.3735632,470.545977,TRUE
575,550.4789916,485.8319328,TRUE
576,533,491.8076923,FALSE
577,567.9327354,480.7612108,TRUE
578,590.4260163,479.8845528,TRUE
579,29.66666667,495.3333333,TRUE
580,4.581967213,504.3606557,FALSE
581,25.48818898,514.6653543,TRUE
582,45.06165099,509.0417973,TRUE
583,74,509,TRUE
584,103,509,TRUE
585,132,509,TRUE
586,161,509,TRUE
587,189.7625133,508.6805112,TRUE
588,215.9107143,506.6678571,TRUE
589,238.8474576,497.8898305,TRUE
590,253.2656716,515.6119403,TRUE
591,277.7774648,512.0492958,TRUE
592,306.437018,509.2493573,TRUE
593,330.9090909,507.8965517,TRUE
594,354.75,501.625,FALSE
595,359.875,521.390625,FALSE
596,398.3298969,506.443299,TRUE
597,409.8309859,512.7816901,TRUE
598,428.5,507.5,FALSE
599,446.9411765,496.2352941,FALSE
600,490.173913,495.8695652,FALSE
601,469.5,500.5,FALSE
602,494.5,524,FALSE
603,519.234375,511.734375,FALSE
604,495.5,524,FALSE
605,533,494,FALSE
606,550.7777778,495.8888889,TRUE
607,536.744,504.528,FALSE
608,524.2142857,514.8142857,FALSE
609,551.2307692,503.2307692,FALSE
610,549.6933333,519.6666667,FALSE
611,535,519.5,FALSE
612,571.6179245,503.009434,TRUE
613,552.4,502.8,FALSE
614,554.2413793,519.3275862,FALSE
615,576.7,517.8,FALSE
616,591.552381,508.1761905,TRUE
617,16.97432905,539.4399067,TRUE
618,45,538,TRUE
619,74,538,TRUE
620,103,538,TRUE
621,131.6160428,537.8566845,TRUE
622,161.7699115,537.7024336,TRUE
623,189.7919321,538.2813163,TRUE
624,217.1717305,540.010568,TRUE
625,247.3382625,535.5600739,TRUE
626,278.8256625,536.3542538,TRUE
627,303.1944444,537.3306878,TRUE
628,330.2,523.85,TRUE
