,index,point1x,point1y,point2x,point2y,point3x,point3y,point4x,point4y,height,cluster,z,
239,297,553250.5409,4183229.891,553194.9262,4183155.949,552900.5532,4183377.359,552956.1679,4183451.301,14.37,5,31.34,
32,361,552980.4493,4182415.268,552961.3861,4182395.872,552930.6566,4182426.073,552949.7198,4182445.47,14.38,0,39.01,
92,384,552469.8365,4183134.053,552440.4321,4183129.321,552434.9428,4183163.429,552464.3472,4183168.161,14.42,1,37.5,
270,653,553058.2,4183384.261,553018.8054,4183378.264,553012.5727,4183419.211,553051.9673,4183425.208,14.43,5,31.34,
126,770,552491.4704,4183189.2,552455.539,4183183.22,552446.7069,4183236.285,552482.6383,4183242.265,14.51,1,37.5,
598,789,552550.1326,4183561.321,552513.466,4183554.878,552508.7654,4183581.632,552545.4319,4183588.074,14.63,12,32.36,
114,670,552471.9398,4183152.086,552444.5778,4183147.69,552438.0055,4183188.603,552465.3675,4183192.999,14.69,1,37.5,
591,727,552579.1065,4183374.61,552542.8075,4183368.626,552536.9779,4183403.983,552573.2769,4183409.968,14.77,12,32.36,
89,341,552570.4469,4183334.152,552532.0915,4182772.703,552489.8218,4182775.59,552528.1773,4183337.039,14.79,1,37.5,
596,783,552489.6822,4183553.512,552452.5885,4183546.994,552445.3375,4183588.261,552482.4312,4183594.779,14.87,12,32.36,
93,393,552667.6482,4183393.039,552456.4642,4183122.976,552405.9615,4183162.468,552617.1456,4183432.531,14.88,1,37.5,
424,7,552503.591,4182816.863,552466.1914,4182810.17,552461.7091,4182835.216,552499.1087,4182841.909,15,11,43.15,
525,322,552585.9986,4183330.386,552548.8171,4183324.465,552544.5562,4183351.22,552581.7376,4183357.141,15.04,12,32.36,
650,387,553070.2551,4182777.865,553022.8657,4182730.014,552991.4022,4182761.174,553038.7916,4182809.025,15.05,14,49.02,
535,364,552751.1826,4183502.615,552702.9453,4183494.308,552696.9018,4183529.402,552745.1391,4183537.709,15.08,12,32.36,
700,518,552329.97,4182474.343,552297.167,4182468.785,552290.8079,4182506.313,552323.6108,4182511.872,15.19,15,43.56,
609,844,552624.3546,4183354.936,552569.0188,4183345.964,552563.5383,4183379.763,552618.8741,4183388.736,15.31,12,32.36,
264,598,553037.1979,4183557.413,552987.2573,4183548.838,552981.8238,4183580.48,553031.7644,4183589.055,15.35,5,31.34,
103,540,552627.7212,4183178.621,552598.5867,4183173.968,552592.4588,4183212.337,552621.5933,4183216.99,15.36,1,37.5,
624,54,552758.2992,4182657.676,552732.4174,4182653.98,552725.3161,4182703.718,552751.1979,4182707.413,15.4,14,49.02,
487,3,552589.7572,4183306.67,552557.5724,4183301.096,552550.0087,4183344.768,552582.1936,4183350.342,15.5,12,32.36,
101,449,552482.7956,4182702.777,552439.9427,4182701.008,552403.4555,4183584.965,552446.3084,4183586.734,15.51,1,37.5,
578,602,552601.9707,4183365.979,552567.2681,4183360.045,552559.2646,4183406.85,552593.9673,4183412.784,15.54,12,32.36,
249,456,553022.2463,4183482.372,552993.8405,4183477.603,552988.4976,4183509.425,553016.9034,4183514.195,15.57,5,31.34,
696,396,552383.6783,4182366.419,552360.3691,4182362.635,552356.588,4182385.927,552379.8972,4182389.711,15.58,15,43.56,
243,327,553040.6727,4183581.265,552983.3433,4183571.521,552978.0883,4183602.439,553035.4176,4183612.183,15.68,5,31.34,
552,476,552716.4596,4183432.256,552414.1802,4183376.024,552403.8721,4183431.436,552706.1515,4183487.668,15.69,12,32.36,
435,201,552484.6638,4182683.078,552446.3918,4182676.661,552441.9783,4182702.987,552480.2503,4182709.403,15.7,11,43.15,
433,184,552502.5274,4182821.629,552464.9163,4182815.684,552460.6407,4182842.735,552498.2518,4182848.68,15.77,11,43.15,
300,339,553187.1831,4183250.744,553179.0071,4183217.145,553145.2409,4183225.362,553153.417,4183258.96,15.78,6,39.1,
440,247,552355.1337,4182614.533,552327.1814,4182609.768,552322.5277,4182637.07,552350.48,4182641.835,15.79,11,43.15,
98,425,552452.598,4183183.009,552404.3698,4183174.811,552397.5456,4183214.957,552445.7738,4183223.155,15.82,1,37.5,
356,723,553342.8842,4182754.181,553320.9508,4182732.675,553293.7917,4182760.375,553315.7251,4182781.88,15.85,7,46.64,
29,349,553108.9122,4182457.818,553075.29,4182424.309,553036.4165,4182463.313,553070.0386,4182496.823,16.02,0,39.01,
127,795,552440.5819,4183201.685,552400.2686,4183195.239,552395.0401,4183227.934,552435.3534,4183234.38,16.2,1,37.5,
