index,x,y,connected,
716,383.5,19.5,TRUE,
717,387.5,19.5,TRUE,
718,391.5,19.5,TRUE,
719,395.5,19.5,TRUE,
720,399.25,19.75,TRUE,
721,403.3913043,20.43478261,TRUE,
722,407.8518519,19.7037037,TRUE,
723,411.1875,19.375,TRUE,
724,414.3333333,18.33333333,TRUE,
725,420.7142857,18.5,TRUE,
726,423.1923077,19.23076923,TRUE,
727,427.5,18.83333333,TRUE,
728,431.9642857,19.14285714,TRUE,
729,434.3684211,19,TRUE,
730,440.6,18.4,TRUE,
731,443.6206897,19,TRUE,
732,447.6176471,19.35294118,TRUE,
733,451.5,19.5,TRUE,
734,454.1666667,19.66666667,TRUE,
735,460.8571429,18,TRUE,
736,462.6666667,17.66666667,TRUE,
737,465.5,17,TRUE,
738,472.7142857,19.28571429,TRUE,
739,475,18.75,TRUE,
740,479.7894737,18.36842105,TRUE,
741,483.8125,19.375,TRUE,
742,487.5,19.5,TRUE,
743,491.1875,19.625,TRUE,
744,493.25,20,TRUE,
745,497,22,TRUE,
746,500,21.75,TRUE,
747,503.5,21.5,TRUE,
748,507.75,21.125,TRUE,
749,511.6896552,19.86206897,TRUE,
750,515.0869565,20.04347826,TRUE,
751,519.5,19.33333333,TRUE,
752,523.4210526,18.57894737,TRUE,
753,527.6470588,18.05882353,TRUE,
754,532.0384615,19,TRUE,
755,534.68,19.32,TRUE,
756,539.5,17,TRUE,
757,541.5,17,TRUE,
758,546,19.5,FALSE,
759,550,17.5,TRUE,
760,546,19.5,FALSE,
761,550,17.5,TRUE,
762,554,19.5,TRUE,
763,551,21,TRUE,
764,555.64,19.68,TRUE,
765,558.5,20.16666667,TRUE,
766,561.5,20,TRUE,
767,566,21.5,TRUE,
768,568.4545455,20.04545455,TRUE,
769,571.5,19.5,TRUE,
770,575.2727273,19.54545455,TRUE,
771,577.7272727,19.18181818,TRUE,
772,585.3333333,18.33333333,TRUE,
773,587.8709677,19.29032258,TRUE,
774,591.5,19.5,TRUE,
775,595.5,19.5,TRUE,
776,598.2857143,19.28571429,TRUE,
777,3.5,23.5,TRUE,
778,7.382352941,23.64705882,TRUE,
779,11.625,23.8125,TRUE,
780,15.5,23.5,TRUE,
781,19.38235294,23.64705882,TRUE,
782,23.625,23.8125,TRUE,
783,27.5,23.5,TRUE,
784,31.38235294,23.35294118,TRUE,
785,35.58064516,23.09677419,TRUE,
786,39.33333333,23.46666667,TRUE,
787,41.33333333,24,TRUE,
788,49.6,23.3,TRUE,
789,51.64705882,23.44117647,TRUE,
790,55.5,23.5,TRUE,
791,59.5,23.5,TRUE,
792,63.28125,23.21875,TRUE,
793,67.4,22.6,TRUE,
794,71.30769231,23.5,TRUE,
795,75.14285714,25.21428571,TRUE,
796,80.09090909,23.72727273,TRUE,
797,83.12,23.48,TRUE,
798,86.5,21,TRUE,
799,86,25.5,TRUE,
800,92.89473684,23.36842105,TRUE,
801,94.25,24.125,TRUE,
802,100.5625,24.3125,TRUE,
803,103.6470588,23.5,TRUE,
804,107.0967742,23.41935484,TRUE,
805,111.6666667,22.83333333,TRUE,
806,114.6666667,23.66666667,TRUE,
807,120.6153846,24.69230769,TRUE,
808,123.8125,23.625,TRUE,
809,127,24,TRUE,
810,131.9,23.8,TRUE,
811,135.3823529,23.64705882,TRUE,
812,139.6363636,23.72727273,TRUE,
